,DLD1_WT_BR1,DLD1_WT_BR2,HCT116_Gemcitabine2uM_BR1,HCT116_Gemcitabine2uM_BR2,HCT116_WT_BR1,HCT116_WT_BR2,U2OS_WT_BR1,U2OS_WT_BR2
5420,0.011911207363291824,0.007579859231185706,0.007579859231185706,0.006497022198159177,0.003789929615592853,0.006497022198159177,0.0032485110990795887,0.002165674066053059
245,0.01295001295001295,0.008288008288008289,0.004921004921004921,0.005698005698005698,0.003367003367003367,0.001554001554001554,0.004662004662004662,0.003626003626003626
7899,0.006636038795303726,0.0071465033180193975,0.005104645227156712,0.0030627871362940277,0.0030627871362940277,0.006125574272588055,0.00408371618172537,0.0015313935681470138
7854,0.008164852255054433,0.00933125972006221,0.00505443234836703,0.00505443234836703,0.004665629860031105,0.0042768273716951785,0.0011664074650077762,0.004665629860031105
230,0.006002824858757062,0.007768361581920904,0.002824858757062147,0.004590395480225989,0.0031779661016949155,0.002824858757062147,0.002824858757062147,0.00211864406779661
326,0.010462555066079295,0.007709251101321586,0.003854625550660793,0.005139500734214391,0.004588839941262849,0.003854625550660793,0.003120411160058737,0.0012848751835535977
1308,0.008755760368663594,0.005990783410138249,0.0032258064516129032,0.004608294930875576,0.0018433179723502304,0.005990783410138249,0.003686635944700461,0.0018433179723502304
8641,0.007727432384966632,0.007727432384966632,0.0066736916051984545,0.00597119775201967,0.003161222339304531,0.003863716192483316,0.002107481559536354,0.004917456972251493
734,0.0068718255153869135,0.005676725425754407,0.00537795040334628,0.003884075291305647,0.00089632506722438,0.00627427547057066,0.00179265013444876,0.00179265013444876
1849,0.0077738515901060075,0.006124852767962308,0.0035335689045936395,0.004004711425206125,0.002355712603062426,0.004240282685512367,0.0021201413427561835,0.003062426383981154
603,0.007763975155279503,0.007246376811594203,0.0036231884057971015,0.006211180124223602,0.003105590062111801,0.005175983436853002,0.004140786749482402,0.005175983436853002
5636,0.006016042780748663,0.009358288770053475,0.004344919786096257,0.002005347593582888,0.00267379679144385,0.003676470588235294,0.0033422459893048127,0.0030080213903743314
933,0.012060301507537688,0.009648241206030151,0.004020100502512563,0.007236180904522613,0.0052261306532663315,0.0036180904522613066,0.003015075376884422,0.003819095477386935
5992,0.009687034277198211,0.004470938897168405,0.0037257824143070045,0.0014903129657228018,0.004470938897168405,0.0067064083457526085,0.0029806259314456036,0.0014903129657228018
785,0.005718954248366013,0.006263616557734205,0.004084967320261438,0.0029956427015250544,0.0024509803921568627,0.004084967320261438,0.002178649237472767,0.0013616557734204794
2273,0.008718980549966466,0.0053655264922870555,0.0026827632461435278,0.007377598926894702,0.00335345405767941,0.007377598926894702,0.0026827632461435278,0.0006706908115358819
1411,0.007805965988291051,0.006690827989963758,0.0030666294954000556,0.0036241984945637024,0.0027878449958182324,0.0016727069974909396,0.002509060496236409,0.002230275996654586
2,0.004162330905306972,0.006243496357960458,0.003121748178980229,0.006243496357960458,0.0015608740894901144,0.004162330905306972,0.0015608740894901144,0.0015608740894901144
157,0.009464751958224544,0.008485639686684074,0.009464751958224544,0.0022845953002610967,0.0026109660574412533,0.0039164490861618795,0.005548302872062663,0.005548302872062663
2621,0.005861664712778429,0.009378663540445486,0.005275498241500586,0.007033997655334115,0.0023446658851113715,0.0029308323563892145,0.0017584994138335288,0.0023446658851113715
4032,0.013166556945358789,0.007241606319947334,0.009216589861751152,0.007241606319947334,0.005924950625411455,0.003949967083607637,0.0032916392363396972,0.0026333113890717576
3084,0.0050820953870211105,0.004300234558248631,0.006645817044566067,0.00547302580140735,0.003127443315089914,0.004300234558248631,0.0023455824863174357,0.0011727912431587178
811,0.009338903907594004,0.005898255099533055,0.0029491275497665276,0.0071270582452691075,0.0017203244040304743,0.003194888178913738,0.0036864094372081593,0.002703366920619317
6311,0.008203445447087777,0.004922067268252666,0.004101722723543888,0.003281378178835111,0.0008203445447087777,0.002461033634126333,0.002461033634126333,0.0016406890894175555
7504,0.0025817555938037868,0.00946643717728055,0.0068846815834767644,0.0025817555938037868,0.004302925989672977,0.0025817555938037868,0.0025817555938037868,0.0017211703958691911
3856,0.0075055187637969095,0.006622516556291391,0.003973509933774834,0.002207505518763797,0.004415011037527594,0.0008830022075055188,0.004856512141280353,0.004415011037527594
1438,0.011929824561403509,0.009473684210526316,0.0035087719298245615,0.007368421052631579,0.005614035087719298,0.0035087719298245615,0.006666666666666667,0.0035087719298245615
2151,0.008143322475570033,0.005293159609120521,0.0028501628664495114,0.003257328990228013,0.0036644951140065146,0.0008143322475570033,0.0016286644951140066,0.003257328990228013
1614,0.010101010101010102,0.004545454545454545,0.005303030303030303,0.005050505050505051,0.003787878787878788,0.0030303030303030303,0.0032828282828282827,0.00404040404040404
7752,0.0024509803921568627,,0.007352941176470588,0.0024509803921568627,,,0.012254901960784314,
1109,0.010355987055016181,0.005825242718446602,0.001941747572815534,0.003236245954692557,0.001941747572815534,0.0025889967637540453,0.005825242718446602,0.003883495145631068
5556,0.04311984781230184,0.04502219403931516,0.05136334812935954,0.028535193405199746,0.04311984781230184,0.03804692454026633,0.04185161699429296,0.03677869372225745
